Text,CreatedAt
"Thrilling scenes in Centurion as South Africa edge past Pakistan in a nail-biter 🔥

#WTC25 | #SAvPAK ✍️: https://t.co/ahPeoUbZyz https://t.co/REhU2gByTi",2024-12-29 14:00:21+00:00
"South Africa are #WTC25 Final bound! What now lies ahead for Australia, India, and Sri Lanka in the race to Lord's? 🤔

Latest state of play 👇

https://t.co/DIPHJOK7Sy",2024-12-29 13:27:00+00:00
"Kagiso Rabada and Marco Jansen delivered under pressure with the bat to guide the Proteas to a thrilling win 🔥

#WTC25 | 📝 #SAvPAK: https://t.co/yaTFIWVhJT https://t.co/iNcFiYdn9J",2024-12-29 11:54:07+00:00
"South Africa's nail-biting win against Pakistan confirms the first #WTC25 Finalist 👀

https://t.co/Bvk3ANUa0a",2024-12-29 11:40:36+00:00
"𝙁𝙄𝙍𝙎𝙏 𝙁𝙄𝙉𝘼𝙇𝙄𝙎𝙏 𝘾𝙊𝙉𝙁𝙄𝙍𝙈𝙀𝘿 🇿🇦 

South Africa are headed to Lord's for the #WTC25 Final 🤩 

#SAvPAK ➡ https://t.co/vWLh4MSQjm https://t.co/sZ5QBnDAYD",2024-12-29 11:25:58+00:00
"Three fearless openers, one dynamic all-rounder 🔥

Who will take the crown for ICC Women’s ODI Cricketer of the Year? 🤔

#ICCAwards

https://t.co/SWG280Iilg",2024-12-29 10:31:51+00:00
"🇿🇦 require 32 runs
🇵🇰 need 2 wickets

Who will hold their nerves in Centurion? 👀  

#WTC25 | 📝 #SAvPAK: https://t.co/ADTkoWCLO9 https://t.co/kbJvOejINd",2024-12-29 10:23:19+00:00
"The best of the best 🌟

Four standout stars from 2024 are in the running for ICC Men’s ODI Cricketer of the Year 🙌

#ICCAwards

https://t.co/pTwcX3mrzN",2024-12-29 09:31:58+00:00
"Australia are confident they hold the advantage going into the last day of the Melbourne Test 👊

#AUSvIND #WTC25 

https://t.co/GLratyUffr",2024-12-29 09:05:08+00:00
RT @JayShah: It’s terrific to see this kind of interest in Test cricket as the build up continues to the #WTCFinal at Lord’s next year - an…,2024-12-29 08:59:12+00:00
"From game-changing all-rounders to a star opener, the ICC Women’s T20I Cricketer of the Year nominees are in 📋

#ICCAwards

https://t.co/3GCXKBJpQA",2024-12-29 08:32:22+00:00
"🇿🇼🇦🇺🇵🇰🇮🇳

A star-studded shortlist for ICC Men’s T20I Cricketer of the Year has been revealed 👀

#ICCAwards

https://t.co/mhvz13ik6i",2024-12-29 08:10:08+00:00
"🇿🇼 🇦🇺 🇵🇰 🇮🇳 

A star-studded shortlist for ICC Men’s T20I Cricketer of the Year has been revealed 👀 

#ICCAwards

https://t.co/zOlLDMh2vh",2024-12-29 07:38:00+00:00
"A solid rearguard display from Nathan Lyon and Scott Boland adds to Australia’s lead in the Boxing Day Test  💪

#AUSvIND 📝:
https://t.co/2F5RfaySGH

#WTC25 https://t.co/LEDoP2kZgd",2024-12-29 07:12:40+00:00
"The Indian pace spearhead surpassed a plethora of greats and boasts a unique record to his name 👀

#AUSvIND #WTC25

https://t.co/hDSUmpRUxl",2024-12-29 05:22:54+00:00
"Skipper Pat Cummins and Marnus Labuschagne stitch a vital stand to add to Australia’s lead 🏏

Follow #AUSvIND updates ➡️ https://t.co/7DA8LIeilx

#WTC25 https://t.co/iT9LB2Ve0r",2024-12-29 04:19:39+00:00
"The nominees for the first two categories in the ICC Awards 2024 have been revealed 🤔

Vote now 👇

https://t.co/RXxYaa2N8I",2024-12-29 03:46:08+00:00
"Jasprit Bumrah has four wickets and India have all the momentum in Melbourne 😲

#AUSvIND | #WTC25

https://t.co/fxjgrRlSEa",2024-12-29 03:17:46+00:00
"Not ideal for Australia with a place in the World Test Championship Final up for grabs 👀

#AUSvIND | #WTC25

https://t.co/pnpyHHyX1C",2024-12-29 02:29:50+00:00
"Wickets to Jasprit Bumrah and Mohammed Siraj help India reduce Australia to 53/2 at lunch on Day 4 in Melbourne 😲

#WTC25 | #AUSvIND 📝 https://t.co/Z5RppfQhEY https://t.co/HzlMjl0QBL",2024-12-29 01:39:29+00:00
"Marco Jansen wreaked havoc against Pakistan as South Africa edged towards booking a place in the World Test Championship Final 🔥

#SAvPAK | #WTC25

More 👉 https://t.co/o2HWtGQcGE https://t.co/CKp7kSwZ9I",2024-12-29 01:02:14+00:00
"The run-fest in Bulawayo continued with Rahmat Shah and Hashmatullah Shahidi forging a marathon partnership 🤝

#ZIMvAFG 📝https://t.co/h4J3xasDJz https://t.co/Fk7ZoZWqUw",2024-12-29 00:01:08+00:00
"Centurion Nitish Kumar Reddy falls for 114 and India are dismissed for 369 to trail Australia by 105 runs 🙌

#WTC25 | 📝#AUSvIND: https://t.co/Z5RppfQhEY https://t.co/wh9xSTz63q",2024-12-28 23:25:47+00:00
"Washington Sundar thinks India can push for a result in Melbourne 👀

#AUSvIND 🗣: https://t.co/Olpi5vXzJE

#WTC25 https://t.co/Urdvh7Udin",2024-12-28 18:30:08+00:00
"A maiden Test ton to remember for Nitish Kumar Reddy 🤩

📝 #AUSvIND: https://t.co/FpkQ6z5As9

 #WTC25 https://t.co/j47qCj7uwV",2024-12-28 17:30:22+00:00
"A dramatic finish in Centurion saw Pakistan fight back with the ball as South Africa eye #WTC25 qualification 🏏

#SAvPAK

https://t.co/gejpd04QFC",2024-12-28 17:11:12+00:00
"Powered by Rahmat Shah and Hashmatullah Shahidi, Afghanistan forge a strong response to Zimbabwe 🏏

#ZIMvAFG 📝: https://t.co/Q2qLQiEMHD https://t.co/riO3or74Io",2024-12-28 16:30:09+00:00
"Pacers bag early wickets as Pakistan set the stage for a thrilling finish in Centurion 🙌

#SAvPAK 📝: https://t.co/fOyfJCu40b | #WTC25 https://t.co/FgOoAN6MIR",2024-12-28 16:06:24+00:00
"Marco Jansen sparkles with the ball as South Africa restrict Pakistan on Day 3 ✨

#SAvPAK: https://t.co/eZuSaAKpX8 https://t.co/G5ojnYpkub",2024-12-28 15:06:17+00:00
