AuthorID,Text,CreatedAt
1.2094E+18,"RT @PrinceeRJD: Only CAPTAIN.... 

Jisse BCCI, COACH, sab jhuk ke rhte the...😎
#MSDhoni #INDvsAUSTest #BCCI https://t.co/x8ZJjn7RKj",2025-01-02 16:35:34+00:00
1.42542E+18,"RT @KKRWeRule: Noone in BCCI can drop Rohit Sharma!!

Le Gautam Gambhir:

https://t.co/EYcm0gpNRO",2025-01-02 16:35:33+00:00
1.67701E+18,"RT @StarkAditya_: They be playing and dragging him.

Meanwhile him :
- Expels the dishonest player who leaked the dressing room conversatio…",2025-01-02 16:35:31+00:00
276993398,"RT @SUPREME_KOHLI: After the 2021 Virat Kohli's Captaincy saga:-

- Saurav Ganguly left the position as BCCI president.
- Chetan Sharma sac…",2025-01-02 16:35:25+00:00
1.00474E+18,"BCCI
Board of Comedy &amp; Circus in India
Earlier today, coach said they will decide team basis pitch (when asked if captain Rohit will play) 🤣
Perhaps 1st team ever to decide captain seeing the pitch...ok :)",2025-01-02 16:35:17+00:00
1.52795E+18,"RT @BCCI: 📍 Sydney

𝗔𝗹𝗹 𝗦𝗲𝘁 𝗳𝗼𝗿 𝘁𝗵𝗲 5⃣𝘁𝗵 &amp; 𝗙𝗶𝗻𝗮𝗹 𝗧𝗲𝘀𝘁! 👍 👍

#TeamIndia | #AUSvIND https://t.co/zJ02MmpAST",2025-01-02 16:35:13+00:00
414798478,"RT @BCCIdomestic: WHAT. A. CATCH! 🔥

Nitish Kumar Reddy pulls off a splendid diving catch at 2nd slip to dismiss Mayank Agarwal.

#DuleepTr…",2025-01-02 16:35:08+00:00
44669147,@ajay43 What do you expect from a RSS sponsored and nepotistic BCCI? And we have Gambhir who is coming after a 5 year stunt as a BJP MP.,2025-01-02 16:35:07+00:00
1.87486E+18,"RT @BCCI: Wishing everyone a very Happy New Year 🙌 🎊

#TeamIndia https://t.co/XGAQUchaJb",2025-01-02 16:35:02+00:00
1.72847E+18,@SushantNMehta Bcci ne khabar leak ke chakkar main kata hai sharmaji ja,2025-01-02 16:35:01+00:00
1.81323E+18,"RT @BCCI: 🗣️ We've got players who can achieve unbelievable things

#TeamIndia Head Coach Gautam Gambhir ahead of the Sydney Test

#AUSvIND…",2025-01-02 16:35:01+00:00
7.13252E+17,@BCCI officials must retire these big PR driven players. https://t.co/NnuC5Snh0l,2025-01-02 16:35:00+00:00
1.38903E+18,"RT @_shortarmjab_: From 3/1/2025 ICT wil have 3 captains

T20i - SKY
ODI - Rohit 
Tests - Bumrah 

Back in 2022, Ganguly (BCCI) wasn't in f…",2025-01-02 16:34:57+00:00
1.56505E+18,RT @wokeflix_: You don’t stand and walk around a Prime Minster with hands in your pockets. Virat needs to learn this. It’s not BCCI office.…,2025-01-02 16:34:56+00:00
1.27658E+18,"@BCCI @GautamGambhir No disrespect to team or any player, but you can not remove a world cup winning captain in the middle of a tour. Yes you can do it in the starting or end but not in the middle especially when you have a ICC trophy 🏆 ahead. I will #boycottsydneytest",2025-01-02 16:34:52+00:00
1.8465E+18,"RT @bholination: - Sacked by MI management 
- Sacked by BCCI

ROHIT SHARMA is the only player to get sacked twice in the history of cricket.",2025-01-02 16:34:52+00:00
1.67701E+18,"RT @Prxtham_18: BCCI kicked Ganguly out, sacked Rohit Sharma from test captaincy. Meanwhile Virat Kohli is still in the leadership role....…",2025-01-02 16:34:51+00:00
1.78553E+18,"Indian Cricket ke sath jo bhi ho rha , dil dookh rha hai bahut

Spin Nhi khep paye home series me Test Series har gye Newzealand se

Fast bowling nhi khel pa rhe Australia me

What happened to Team India?? 

#cricket
#TeamIndia 
#bcci
#IndianCricket https://t.co/0e8mhX6v1w",2025-01-02 16:34:51+00:00
2180461873,"RT @ChakriDhonii: N Srinivasan : 

When I Was the Bcci Secretary During 2011 World Cup Coach Gary Kirsten Told me , Don't Worry Sir, on the…",2025-01-02 16:34:49+00:00
1.70793E+18,"RT @duvvadaj_: &gt; never played for his records
&gt; never let his wife take decisions for bcci
&gt; never posted ads on sm during ongoing series
&gt;…",2025-01-02 16:34:43+00:00
1.67555E+18,"RT @SUPREME_KOHLI: After the 2021 Virat Kohli's Captaincy saga:-

- Saurav Ganguly left the position as BCCI president.
- Chetan Sharma sac…",2025-01-02 16:34:42+00:00
213402875,"RT @cswift3110: 🥳 First #BBCStumped of 2025 

🇮🇳 @BCCI face must win Test to retain the #BorderGavaskarTrophy 

🇿🇦 @ProteasMenCSA reach the…",2025-01-02 16:34:42+00:00
